State,Year,County,0BR,1BR,2BR,3BR,4BR
Kansas,2019,Jewell,490,553,672,842,908
Kansas,2019,Johnson,640,786,953,1286,1457
Kansas,2019,Kearny,490,508,672,860,979
Kansas,2019,Kingman,432,518,672,953,1089
Kansas,2019,Kiowa,432,587,672,970,1180
Kansas,2019,Labette,432,508,672,872,1043
Kansas,2019,Lane,490,508,672,884,979
Kansas,2019,Leavenworth,640,786,953,1286,1457
Kansas,2019,Lincoln,490,577,672,879,979
Kansas,2019,Linn,640,786,953,1286,1457
Kansas,2019,Logan,490,508,672,972,1057
Kansas,2019,Lyon,440,508,672,969,987
Kansas,2019,McPherson,528,548,725,918,1035
Kansas,2019,Marion,490,508,672,842,908
Kansas,2019,Marshall,490,508,672,859,953
Kansas,2019,Meade,490,513,672,905,908
Kansas,2019,Miami,640,786,953,1286,1457
Kansas,2019,Mitchell,490,508,672,852,979
Kansas,2019,Montgomery,486,508,672,886,979
Kansas,2019,Morris,490,541,672,923,926
Kansas,2019,Morton,490,509,672,860,908
Kansas,2019,Nemaha,490,555,672,930,1174
Kansas,2019,Neosho,490,582,672,900,908
Kansas,2019,Ness,490,587,672,924,927
Kansas,2019,Norton,490,508,672,955,979
Kansas,2019,Osage,543,593,785,1033,1229
Kansas,2019,Osborne,490,587,672,905,908
Kansas,2019,Ottawa,501,520,688,918,938
Kansas,2019,Pawnee,501,547,688,900,1002
Kansas,2019,Phillips,490,587,672,922,979
Kansas,2019,Pottawatomie,722,727,944,1330,1658
Kansas,2019,Pratt,531,572,729,913,1243
Kansas,2019,Rawlins,490,508,672,842,979
Kansas,2019,Reno,468,551,729,913,1040
Kansas,2019,Republic,490,554,672,951,955
Kansas,2019,Rice,490,517,672,896,1084
Kansas,2019,Riley,722,727,944,1330,1658
Kansas,2019,Rooks,490,527,672,842,908
Kansas,2019,Rush,490,565,672,935,938
Kansas,2019,Russell,490,508,672,925,979
Kansas,2019,Saline,528,585,766,1002,1072
Kansas,2019,Scott,519,535,711,891,1155
Kansas,2019,Sedgwick,506,598,787,1073,1302
Kansas,2019,Seward,466,629,726,964,1069
Kansas,2019,Shawnee,543,593,785,1033,1229
Kansas,2019,Sheridan,490,508,672,873,979
Kansas,2019,Sherman,534,554,733,918,991
Kansas,2019,Smith,490,567,672,903,979
Kansas,2019,Stafford,490,508,672,842,908
Kansas,2019,Stanton,490,508,672,842,979
Kansas,2019,Stevens,522,542,717,898,1113
Kansas,2019,Sumner,448,531,697,906,1143
Kansas,2019,Thomas,490,547,672,972,1007
Kansas,2019,Trego,490,587,672,842,908
Kansas,2019,Wabaunsee,543,593,785,1033,1229
Kansas,2019,Wallace,490,564,672,940,979
Kansas,2019,Washington,490,508,672,842,908
Kansas,2019,Wichita,490,508,672,972,979
Kansas,2019,Wilson,490,510,672,932,1107
Kansas,2019,Woodson,490,508,672,842,979
Kansas,2019,Wyandotte,640,786,953,1286,1457
Kansas,2020,Allen,539,542,714,890,1102
Kansas,2020,Anderson,524,542,714,945,1197
Kansas,2020,Atchison,524,542,714,890,1100
Kansas,2020,Barber,524,542,714,890,967
Kansas,2020,Barton,539,542,714,898,1011
Kansas,2020,Bourbon,539,542,714,949,967
Kansas,2020,Brown,524,542,714,897,1053
Kansas,2020,Butler,536,630,822,1121,1372
Kansas,2020,Chase,524,543,714,910,1039
Kansas,2020,Chautauqua,535,554,729,908,1061
Kansas,2020,Cherokee,527,549,718,895,992
Kansas,2020,Cheyenne,524,627,714,1030,1039
Kansas,2020,Clark,596,617,812,1057,1100
Kansas,2020,Clay,606,610,803,1056,1260
Kansas,2020,Cloud,524,542,714,932,1036
Kansas,2020,Coffey,524,546,714,946,1100
Kansas,2020,Comanche,524,542,714,890,1039
Kansas,2020,Cowley,532,550,725,957,1009
Kansas,2020,Crawford,545,548,722,1018,1055
Kansas,2020,Decatur,524,542,714,983,1039
Kansas,2020,Dickinson,539,542,714,964,967
Kansas,2020,Doniphan,555,610,797,1064,1142
Kansas,2020,Douglas,693,733,930,1342,1633
Kansas,2020,Edwards,524,542,714,890,1039
Kansas,2020,Elk,524,582,714,890,1199
Kansas,2020,Ellis,532,550,725,920,1269
Kansas,2020,Ellsworth,524,552,714,964,967
Kansas,2020,Finney,579,602,790,993,1126
Kansas,2020,Ford,562,582,766,1037,1136
Kansas,2020,Franklin,534,601,791,986,1137
Kansas,2020,Geary,724,729,960,1353,1685
Kansas,2020,Gove,524,602,714,890,967
Kansas,2020,Graham,524,627,714,959,1039
Kansas,2020,Grant,524,542,714,890,1039
Kansas,2020,Gray,524,542,714,890,995
Kansas,2020,Greeley,524,542,714,929,1039
Kansas,2020,Greenwood,524,601,714,959,1061
Kansas,2020,Hamilton,524,542,714,890,967
Kansas,2020,Harper,524,542,714,890,1128
Kansas,2020,Harvey,536,630,822,1121,1372
Kansas,2020,Haskell,576,596,785,978,1143
Kansas,2020,Hodgeman,524,577,714,964,967
Kansas,2020,Jackson,590,598,788,1020,1211
Kansas,2020,Jefferson,590,598,788,1020,1211
Kansas,2020,Jewell,524,600,714,911,967
Kansas,2020,Johnson,678,813,978,1314,1490
Kansas,2020,Kearny,524,542,714,890,1039
Kansas,2020,Kingman,465,556,714,1021,1116
Kansas,2020,Kiowa,465,627,714,1010,1254
Kansas,2020,Labette,465,542,714,957,1067
Kansas,2020,Lane,524,542,714,895,1039
Kansas,2020,Leavenworth,678,813,978,1314,1490
Kansas,2020,Lincoln,524,596,714,913,1039
Kansas,2020,Linn,678,813,978,1314,1490
Kansas,2020,Logan,524,542,714,1030,1175
Kansas,2020,Lyon,480,542,714,1014,1130
Kansas,2020,McPherson,571,591,778,998,1108
Kansas,2020,Marion,524,542,714,890,967
Kansas,2020,Marshall,524,542,714,937,1199
Kansas,2020,Meade,524,548,714,964,967
Kansas,2020,Miami,678,813,978,1314,1490
Kansas,2020,Mitchell,524,542,714,890,1039
Kansas,2020,Montgomery,539,542,714,943,1113
Kansas,2020,Morris,524,542,714,912,967
Kansas,2020,Morton,524,542,714,964,967
Kansas,2020,Nemaha,465,582,714,1012,1147
Kansas,2020,Neosho,524,582,714,964,967
Kansas,2020,Ness,524,627,714,1006,1009
Kansas,2020,Norton,524,627,714,974,1039
Kansas,2020,Osage,590,598,788,1020,1211
Kansas,2020,Osborne,524,624,714,1030,1039
Kansas,2020,Ottawa,535,554,729,930,988
Kansas,2020,Pawnee,524,627,714,1030,1039
Kansas,2020,Phillips,524,627,714,940,967
Kansas,2020,Pottawatomie,752,757,969,1334,1701
Kansas,2020,Pratt,554,587,756,942,1327
Kansas,2020,Rawlins,524,542,714,890,967
Kansas,2020,Reno,489,569,750,935,1071
Kansas,2020,Republic,524,627,714,1020,1024
Kansas,2020,Rice,524,603,714,1021,1180
Kansas,2020,Riley,752,757,969,1334,1701
Kansas,2020,Rooks,524,560,714,890,967
Kansas,2020,Rush,524,587,714,1030,1137
Kansas,2020,Russell,524,542,714,980,1039
Kansas,2020,Saline,523,600,790,1016,1205
Kansas,2020,Scott,524,542,714,890,1159
Kansas,2020,Sedgwick,536,630,822,1121,1372
Kansas,2020,Seward,495,609,759,960,1102
Kansas,2020,Shawnee,590,598,788,1020,1211
Kansas,2020,Sheridan,524,542,714,995,1039
Kansas,2020,Sherman,558,578,761,948,1031
Kansas,2020,Smith,524,608,714,961,1039
Kansas,2020,Stafford,524,542,714,890,967
Kansas,2020,Stanton,524,542,714,890,1039
Kansas,2020,Stevens,534,553,728,907,1130
Kansas,2020,Sumner,482,561,739,963,1200
Kansas,2020,Thomas,524,543,714,1030,1039
Kansas,2020,Trego,524,542,714,890,967
Kansas,2020,Wabaunsee,590,598,788,1020,1211
Kansas,2020,Wallace,524,555,714,968,1039
Kansas,2020,Washington,524,609,714,890,1019
Kansas,2020,Wichita,524,542,714,1030,1039
Kansas,2020,Wilson,524,550,714,1028,1225
Kansas,2020,Woodson,524,542,714,890,1039
Kansas,2020,Wyandotte,678,813,978,1314,1490
Kansas,2021,Allen,541,545,718,893,992
Kansas,2021,Anderson,543,545,718,896,1199
Kansas,2021,Atchison,543,545,718,893,1024
Kansas,2021,Barber,543,545,718,906,974
Kansas,2021,Barton,541,545,718,941,1017
Kansas,2021,Bourbon,541,545,718,951,974
Kansas,2021,Brown,543,545,718,928,1031
Kansas,2021,Butler,563,658,854,1153,1412
Kansas,2021,Chase,543,545,718,893,1042
Kansas,2021,Chautauqua,543,545,718,931,1042
Kansas,2021,Cherokee,547,549,724,901,982
Kansas,2021,Cheyenne,543,630,718,1028,1121
Kansas,2021,Clark,620,622,820,1065,1112
Kansas,2021,Clay,565,569,750,1012,1134
Kansas,2021,Cloud,543,545,718,921,1009
Kansas,2021,Coffey,543,561,718,955,1138
Kansas,2021,Comanche,543,545,718,933,1042
Kansas,2021,Cowley,544,546,720,953,1012
Kansas,2021,Crawford,558,562,740,1045,1047
Kansas,2021,Decatur,543,545,718,992,1158
Kansas,2021,Dickinson,541,545,718,970,974
Kansas,2021,Doniphan,539,620,817,1096,1169
Kansas,2021,Douglas,712,756,950,1360,1645
Kansas,2021,Edwards,543,545,718,893,1042
Kansas,2021,Elk,543,598,718,893,1243
Kansas,2021,Ellis,559,562,740,925,1253
Kansas,2021,Ellsworth,543,571,718,970,974
Kansas,2021,Finney,606,611,802,1033,1151
Kansas,2021,Ford,594,596,786,1040,1125
Kansas,2021,Franklin,555,613,808,1005,1142
Kansas,2021,Geary,683,687,906,1297,1569
Kansas,2021,Gove,543,590,718,893,997
Kansas,2021,Graham,543,629,718,987,1042
Kansas,2021,Grant,543,545,718,933,1042
Kansas,2021,Gray,543,549,718,893,1007
Kansas,2021,Greeley,543,545,718,933,1042
Kansas,2021,Greenwood,543,590,718,971,1042
Kansas,2021,Hamilton,543,545,718,893,974
Kansas,2021,Harper,543,545,718,893,1152
Kansas,2021,Harvey,563,658,854,1153,1412
Kansas,2021,Haskell,543,545,718,893,1042
Kansas,2021,Hodgeman,543,545,718,970,974
Kansas,2021,Jackson,604,608,801,1027,1219
Kansas,2021,Jefferson,604,608,801,1027,1219
Kansas,2021,Jewell,543,616,718,945,974
Kansas,2021,Johnson,731,857,1021,1364,1552
Kansas,2021,Kearny,543,545,718,893,1042
Kansas,2021,Kingman,474,599,718,1028,1104
Kansas,2021,Kiowa,543,630,718,941,1243
Kansas,2021,Labette,474,545,718,966,999
Kansas,2021,Lane,543,545,718,893,1042
Kansas,2021,Leavenworth,731,857,1021,1364,1552
Kansas,2021,Lincoln,543,570,718,893,1042
Kansas,2021,Linn,731,857,1021,1364,1552
Kansas,2021,Logan,543,545,718,1019,1058
Kansas,2021,Lyon,474,545,718,988,1161
Kansas,2021,McPherson,563,565,745,957,1010
Kansas,2021,Marion,543,545,718,893,974
Kansas,2021,Marshall,543,545,718,962,1243
Kansas,2021,Meade,543,555,718,970,974
Kansas,2021,Miami,731,857,1021,1364,1552
Kansas,2021,Mitchell,543,545,718,893,1042
Kansas,2021,Montgomery,541,545,718,958,1114
Kansas,2021,Morris,543,545,718,893,1042
Kansas,2021,Morton,543,545,718,975,979
Kansas,2021,Nemaha,474,553,718,983,1041
Kansas,2021,Neosho,551,556,718,978,1000
Kansas,2021,Ness,543,630,718,985,989
Kansas,2021,Norton,543,630,718,911,1042
Kansas,2021,Osage,604,608,801,1027,1219
Kansas,2021,Osborne,543,594,718,1028,1042
Kansas,2021,Ottawa,561,563,742,923,1006
Kansas,2021,Pawnee,543,630,718,1012,1042
Kansas,2021,Phillips,615,630,718,893,974
Kansas,2021,Pottawatomie,715,720,907,1203,1570
Kansas,2021,Pratt,553,579,732,1000,1267
Kansas,2021,Rawlins,543,545,718,893,974
Kansas,2021,Reno,517,595,784,975,1110
Kansas,2021,Republic,543,625,718,1005,1043
Kansas,2021,Rice,543,602,718,1028,1198
Kansas,2021,Riley,715,720,907,1203,1570
Kansas,2021,Rooks,543,545,718,893,974
Kansas,2021,Rush,543,589,718,1028,1243
Kansas,2021,Russell,543,545,718,963,1042
Kansas,2021,Saline,546,610,804,1022,1285
Kansas,2021,Scott,543,545,718,915,1198
Kansas,2021,Sedgwick,563,658,854,1153,1412
Kansas,2021,Seward,593,595,784,975,1099
Kansas,2021,Shawnee,604,608,801,1027,1219
Kansas,2021,Sheridan,543,579,718,1028,1042
Kansas,2021,Sherman,593,595,784,975,1138
Kansas,2021,Smith,543,630,718,1023,1042
Kansas,2021,Stafford,543,545,718,893,974
Kansas,2021,Stanton,547,549,724,940,1051
Kansas,2021,Stevens,550,552,728,905,1126
Kansas,2021,Sumner,501,576,759,1002,1224
Kansas,2021,Thomas,543,545,718,987,1042
Kansas,2021,Trego,543,545,718,893,1042
Kansas,2021,Wabaunsee,604,608,801,1027,1219
Kansas,2021,Wallace,543,545,718,903,1042
Kansas,2021,Washington,543,592,718,893,1076
Kansas,2021,Wichita,543,545,718,1028,1042
Kansas,2021,Wilson,543,545,718,1028,1243
Kansas,2021,Woodson,543,545,718,893,1042
Kansas,2021,Wyandotte,731,857,1021,1364,1552
Kentucky,2006,Adair,325,361,429,523,583
Kentucky,2006,Allen,281,365,429,573,741
Kentucky,2006,Anderson,415,444,586,847,1010
Kentucky,2006,Ballard,352,389,480,615,693
Kentucky,2006,Barren,297,347,450,561,618
Kentucky,2006,Bath,337,365,450,562,581
Kentucky,2006,Bell,282,385,429,512,628
Kentucky,2006,Boone,427,506,655,877,910
Kentucky,2006,Bourbon,420,504,622,836,862
Kentucky,2006,Boyd,354,419,503,620,641
Kentucky,2006,Boyle,361,400,525,629,649
Kentucky,2006,Bracken,427,506,655,877,910
Kentucky,2006,Breathitt,356,374,429,533,557
Kentucky,2006,Breckinridge,352,354,455,608,627
Kentucky,2006,Bullitt,411,473,563,785,834
Kentucky,2006,Butler,385,457,556,731,753
Kentucky,2006,Caldwell,356,357,429,543,617
Kentucky,2006,Calloway,427,428,515,634,904
Kentucky,2006,Campbell,427,506,655,877,910
Kentucky,2006,Carlisle,352,389,480,615,693
Kentucky,2006,Carroll,423,424,527,697,757
Kentucky,2006,Carter,282,375,435,518,586
Kentucky,2006,Casey,325,361,429,523,583
Kentucky,2006,Christian,466,485,563,814,838
Kentucky,2006,Clark,420,504,622,836,862
Kentucky,2006,Clay,278,385,429,512,527
Kentucky,2006,Clinton,325,361,429,523,583
Kentucky,2006,Crittenden,356,357,429,560,636
Kentucky,2006,Cumberland,325,361,429,523,583
Kentucky,2006,Daviess,350,390,513,712,754
Kentucky,2006,Edmonson,391,467,568,757,892
Kentucky,2006,Elliott,377,378,455,578,683
Kentucky,2006,Estill,356,357,429,548,722
Kentucky,2006,Fayette,420,504,622,836,862
Kentucky,2006,Fleming,337,365,450,562,581
Kentucky,2006,Floyd,325,364,429,563,649
Kentucky,2006,Franklin,425,451,593,804,827
Kentucky,2006,Fulton,352,389,480,615,693
Kentucky,2006,Gallatin,427,506,655,877,910
Kentucky,2006,Garrard,364,407,488,583,854
Kentucky,2006,Grant,396,478,608,748,838
Kentucky,2006,Graves,344,346,429,512,625
Kentucky,2006,Grayson,357,358,429,559,656
Kentucky,2006,Green,323,358,429,519,579
Kentucky,2006,Greenup,354,419,503,620,641
Kentucky,2006,Hancock,350,390,513,712,754
Kentucky,2006,Hardin,362,404,487,693,853
Kentucky,2006,Harlan,355,382,429,528,667
Kentucky,2006,Harrison,370,372,486,637,658
Kentucky,2006,Hart,319,348,429,547,637
Kentucky,2006,Henderson,374,437,543,670,728
Kentucky,2006,Henry,411,473,563,785,834
Kentucky,2006,Hickman,352,389,480,615,693
Kentucky,2006,Hopkins,356,356,429,538,752
Kentucky,2006,Jackson,356,374,429,519,534
Kentucky,2006,Jefferson,411,473,563,785,834
Kentucky,2006,Jessamine,420,504,622,836,862
Kentucky,2006,Johnson,280,365,429,585,601
Kentucky,2006,Kenton,427,506,655,877,910
Kentucky,2006,Knott,356,374,429,537,557
Kentucky,2006,Knox,281,339,429,605,625
Kentucky,2006,Larue,362,404,487,693,853
Kentucky,2006,Laurel,356,386,429,527,720
Kentucky,2006,Lawrence,278,325,429,573,590
Kentucky,2006,Lee,356,374,429,537,557
Kentucky,2006,Leslie,356,374,429,537,557
Kentucky,2006,Letcher,356,374,429,533,557
Kentucky,2006,Lewis,337,365,450,562,581
Kentucky,2006,Lincoln,310,424,470,563,744
Kentucky,2006,Livingston,355,356,429,552,627
Kentucky,2006,Logan,381,414,460,630,698
Kentucky,2006,Lyon,419,426,505,655,679
Kentucky,2006,McCracken,322,405,498,668,688
Kentucky,2006,McCreary,356,385,429,553,568
Kentucky,2006,McLean,350,390,513,712,754
Kentucky,2006,Madison,367,390,499,704,825
Kentucky,2006,Magoffin,356,360,429,528,552
Kentucky,2006,Marion,352,354,455,608,627
Kentucky,2006,Marshall,385,386,465,606,788
Kentucky,2006,Martin,356,360,429,528,552
Kentucky,2006,Mason,289,370,447,652,749
Kentucky,2006,Meade,399,400,479,615,689
Kentucky,2006,Menifee,337,365,450,562,581
Kentucky,2006,Mercer,390,415,471,620,730
Kentucky,2006,Metcalfe,319,348,429,547,637
Kentucky,2006,Monroe,319,348,429,547,637
Kentucky,2006,Montgomery,346,403,532,635,654
Kentucky,2006,Morgan,337,365,450,562,581
Kentucky,2006,Muhlenberg,354,355,429,545,559
Kentucky,2006,Nelson,342,413,499,727,786
Kentucky,2006,Nicholas,439,440,576,706,778
Kentucky,2006,Ohio,354,377,429,569,625
Kentucky,2006,Oldham,411,473,563,785,834
Kentucky,2006,Owen,471,537,613,825,1075
Kentucky,2006,Owsley,356,374,429,537,557
Kentucky,2006,Pendleton,427,506,655,877,910
Kentucky,2006,Perry,356,375,429,513,629
Kentucky,2006,Pike,363,364,438,526,541
Kentucky,2006,Powell,326,411,503,602,620
Kentucky,2006,Pulaski,305,337,429,529,561
Kentucky,2006,Robertson,337,365,450,562,581
Kentucky,2006,Rockcastle,356,374,429,519,534
Kentucky,2006,Rowan,380,421,468,587,606
Kentucky,2006,Russell,325,361,429,523,583
Kentucky,2006,Scott,420,504,622,836,862
Kentucky,2006,Shelby,411,473,563,785,834
Kentucky,2006,Simpson,385,452,594,738,761
Kentucky,2006,Spencer,411,473,563,785,834
Kentucky,2006,Taylor,282,386,429,553,726
Kentucky,2006,Todd,419,426,505,655,679
Kentucky,2006,Trigg,466,485,563,814,838
Kentucky,2006,Trimble,411,473,563,785,834
Kentucky,2006,Union,380,381,459,559,588
Kentucky,2006,Warren,391,467,568,757,892
Kentucky,2006,Washington,352,354,455,608,627
Kentucky,2006,Wayne,281,343,429,556,573
Kentucky,2006,Webster,374,437,543,670,728
Kentucky,2006,Whitley,329,347,457,546,562
Kentucky,2006,Wolfe,356,374,429,537,557
Kentucky,2006,Woodford,420,504,622,836,862
Kentucky,2007,Adair,338,375,446,544,607
Kentucky,2007,Allen,292,379,446,595,771
Kentucky,2007,Anderson,432,462,610,882,1052
Kentucky,2007,Ballard,366,405,499,639,721
Kentucky,2007,Barren,308,361,468,584,643
Kentucky,2007,Bath,350,379,468,585,604
Kentucky,2007,Bell,293,400,446,532,653
Kentucky,2007,Boone,436,516,668,894,929
Kentucky,2007,Bourbon,437,525,647,870,897
Kentucky,2007,Boyd,365,432,519,640,661
Kentucky,2007,Boyle,376,416,546,654,675
Kentucky,2007,Bracken,436,516,668,894,929
Kentucky,2007,Breathitt,370,389,446,554,579
Kentucky,2007,Breckinridge,366,368,473,632,652
Kentucky,2007,Bullitt,426,492,584,816,867
Kentucky,2007,Butler,401,475,578,760,783
Kentucky,2007,Caldwell,371,372,446,565,641
Kentucky,2007,Calloway,445,446,536,660,941
Kentucky,2007,Campbell,436,516,668,894,929
Kentucky,2007,Carlisle,366,405,499,639,721
Kentucky,2007,Carroll,440,441,548,724,787
Kentucky,2007,Carter,294,391,453,540,611
Kentucky,2007,Casey,338,375,446,544,607
Kentucky,2007,Christian,485,505,586,847,872
Kentucky,2007,Clark,437,525,647,870,897
Kentucky,2007,Clay,289,401,446,532,548
Kentucky,2007,Clinton,338,375,446,544,607
Kentucky,2007,Crittenden,370,372,446,582,661
Kentucky,2007,Cumberland,338,375,446,544,607
Kentucky,2007,Daviess,365,406,534,741,784
Kentucky,2007,Edmonson,407,486,591,788,928
Kentucky,2007,Elliott,392,393,473,601,710
Kentucky,2007,Estill,370,372,446,570,751
Kentucky,2007,Fayette,437,525,647,870,897
Kentucky,2007,Fleming,350,379,468,585,604
Kentucky,2007,Floyd,338,379,446,585,674
Kentucky,2007,Franklin,442,469,617,837,860
Kentucky,2007,Fulton,366,405,499,639,721
Kentucky,2007,Gallatin,436,516,668,894,929
Kentucky,2007,Garrard,378,423,508,607,890
Kentucky,2007,Grant,404,487,620,763,855
Kentucky,2007,Graves,358,359,446,533,649
Kentucky,2007,Grayson,371,372,446,582,682
Kentucky,2007,Green,336,372,446,539,602
Kentucky,2007,Greenup,365,432,519,640,661
Kentucky,2007,Hancock,365,406,534,741,784
Kentucky,2007,Hardin,377,420,507,721,888
Kentucky,2007,Harlan,369,397,446,549,694
Kentucky,2007,Harrison,385,387,506,663,685
Kentucky,2007,Hart,332,362,446,569,663
Kentucky,2007,Henderson,386,450,560,691,751
Kentucky,2007,Henry,426,492,584,816,867
Kentucky,2007,Hickman,366,405,499,639,721
Kentucky,2007,Hopkins,370,371,446,559,782
Kentucky,2007,Jackson,370,389,446,539,555
Kentucky,2007,Jefferson,426,492,584,816,867
Kentucky,2007,Jessamine,437,525,647,870,897
Kentucky,2007,Johnson,291,380,446,608,625
Kentucky,2007,Kenton,436,516,668,894,929
Kentucky,2007,Knott,370,389,446,558,579
Kentucky,2007,Knox,292,353,446,629,650
Kentucky,2007,Larue,377,420,507,721,888
Kentucky,2007,Laurel,370,401,446,548,749
Kentucky,2007,Lawrence,289,338,446,595,614
Kentucky,2007,Lee,370,389,446,558,579
Kentucky,2007,Leslie,370,389,446,558,579
Kentucky,2007,Letcher,370,389,446,554,579
Kentucky,2007,Lewis,350,379,468,585,604
Kentucky,2007,Lincoln,322,441,489,585,774
Kentucky,2007,Livingston,369,370,446,574,652
Kentucky,2007,Logan,397,431,479,656,727
Kentucky,2007,Lyon,435,443,525,681,706
Kentucky,2007,McCracken,335,422,518,695,716
Kentucky,2007,McCreary,371,400,446,575,590
Kentucky,2007,McLean,365,406,534,741,784
Kentucky,2007,Madison,382,405,519,732,858
Kentucky,2007,Magoffin,371,374,446,549,574
Kentucky,2007,Marion,366,368,473,632,652
Kentucky,2007,Marshall,400,402,484,631,820
Kentucky,2007,Martin,371,374,446,549,574
Kentucky,2007,Mason,301,385,465,678,779
Kentucky,2007,Meade,414,415,497,638,715
Kentucky,2007,Menifee,350,379,468,585,604
Kentucky,2007,Mercer,406,432,490,645,760
Kentucky,2007,Metcalfe,332,362,446,569,663
Kentucky,2007,Monroe,332,362,446,569,663
Kentucky,2007,Montgomery,359,419,553,660,680
Kentucky,2007,Morgan,350,379,468,585,604
Kentucky,2007,Muhlenberg,368,369,446,566,582
Kentucky,2007,Nelson,355,428,518,755,816
Kentucky,2007,Nicholas,457,458,599,734,809
Kentucky,2007,Ohio,368,392,446,591,649
Kentucky,2007,Oldham,426,492,584,816,867
Kentucky,2007,Owen,490,559,638,859,1118
Kentucky,2007,Owsley,370,389,446,558,579
Kentucky,2007,Pendleton,436,516,668,894,929
Kentucky,2007,Perry,370,390,446,533,654
Kentucky,2007,Pike,378,379,456,547,563
Kentucky,2007,Powell,339,428,523,626,645
Kentucky,2007,Pulaski,317,351,446,550,583
Kentucky,2007,Robertson,350,379,468,585,604
Kentucky,2007,Rockcastle,370,389,446,539,555
Kentucky,2007,Rowan,395,438,487,611,631
Kentucky,2007,Russell,338,375,446,544,607
Kentucky,2007,Scott,437,525,647,870,897
Kentucky,2007,Shelby,497,498,602,792,816
Kentucky,2007,Simpson,400,470,618,768,792
Kentucky,2007,Spencer,426,492,584,816,867
Kentucky,2007,Taylor,293,401,446,575,755
Kentucky,2007,Todd,435,443,525,681,706
Kentucky,2007,Trigg,485,505,586,847,872
Kentucky,2007,Trimble,426,492,584,816,867
Kentucky,2007,Union,394,396,477,581,611
Kentucky,2007,Warren,407,486,591,788,928
Kentucky,2007,Washington,366,368,473,632,652
Kentucky,2007,Wayne,292,356,446,578,595
Kentucky,2007,Webster,386,450,560,691,751
Kentucky,2007,Whitley,342,361,475,567,584
Kentucky,2007,Wolfe,370,389,446,558,579
Kentucky,2007,Woodford,437,525,647,870,897
Kentucky,2008,Adair,371,412,490,597,666
Kentucky,2008,Allen,320,417,490,654,847
Kentucky,2008,Anderson,473,506,668,966,1152
Kentucky,2008,Ballard,402,444,548,702,791
Kentucky,2008,Barren,338,396,513,640,704
Kentucky,2008,Bath,384,416,513,641,662
Kentucky,2008,Bell,322,440,490,585,717
Kentucky,2008,Boone,473,560,726,972,1009
Kentucky,2008,Bourbon,461,554,683,918,947
Kentucky,2008,Boyd,396,468,562,693,716
Kentucky,2008,Boyle,412,456,599,718,741
Kentucky,2008,Bracken,473,560,726,972,1009
Kentucky,2008,Breathitt,407,427,490,609,637
Kentucky,2008,Breckinridge,401,403,518,693,714
Kentucky,2008,Bullitt,483,559,663,926,984
Kentucky,2008,Butler,439,521,634,834,858
Kentucky,2008,Caldwell,407,408,490,620,705
Kentucky,2008,Calloway,488,489,588,724,1033
Kentucky,2008,Campbell,473,560,726,972,1009
Kentucky,2008,Carlisle,402,444,548,702,791
Kentucky,2008,Carroll,482,483,600,793,862
Kentucky,2008,Carter,321,427,495,590,667
Kentucky,2008,Casey,371,412,490,597,666
Kentucky,2008,Christian,518,539,626,905,931
Kentucky,2008,Clark,461,554,683,918,947
Kentucky,2008,Clay,318,440,490,585,602
Kentucky,2008,Clinton,371,412,490,597,666
Kentucky,2008,Crittenden,407,408,490,640,727
Kentucky,2008,Cumberland,371,412,490,597,666
Kentucky,2008,Daviess,402,447,588,816,864
Kentucky,2008,Edmonson,447,533,649,865,1020
Kentucky,2008,Elliott,429,430,518,658,778
Kentucky,2008,Estill,407,408,490,626,825
Kentucky,2008,Fayette,461,554,683,918,947
Kentucky,2008,Fleming,384,416,513,641,662
Kentucky,2008,Floyd,371,416,490,643,741
Kentucky,2008,Franklin,485,515,677,918,944
Kentucky,2008,Fulton,402,444,548,702,791
Kentucky,2008,Gallatin,473,560,726,972,1009
Kentucky,2008,Garrard,414,463,556,664,974
Kentucky,2008,Grant,443,534,680,837,938
Kentucky,2008,Graves,393,395,490,585,713
Kentucky,2008,Grayson,408,409,490,639,750
Kentucky,2008,Green,369,409,490,592,661
Kentucky,2008,Greenup,396,468,562,693,716
Kentucky,2008,Hancock,402,447,588,816,864
Kentucky,2008,Hardin,413,460,555,790,972
Kentucky,2008,Harlan,406,437,490,603,762
Kentucky,2008,Harrison,422,425,555,728,751
Kentucky,2008,Hart,365,398,490,625,728
Kentucky,2008,Henderson,415,484,602,743,807
Kentucky,2008,Henry,483,559,663,926,984
Kentucky,2008,Hickman,402,444,548,702,791
Kentucky,2008,Hopkins,406,407,490,614,859
Kentucky,2008,Jackson,406,427,490,592,610
Kentucky,2008,Jefferson,483,559,663,926,984
Kentucky,2008,Jessamine,461,554,683,918,947
Kentucky,2008,Johnson,319,417,490,668,687
Kentucky,2008,Kenton,473,560,726,972,1009
Kentucky,2008,Knott,407,427,490,613,637
Kentucky,2008,Knox,321,388,490,691,714
Kentucky,2008,Larue,413,460,555,790,972
Kentucky,2008,Laurel,407,441,490,602,823
Kentucky,2008,Lawrence,318,371,490,654,674
Kentucky,2008,Lee,407,427,490,613,637
Kentucky,2008,Leslie,407,427,490,613,637
Kentucky,2008,Letcher,407,427,490,609,637
Kentucky,2008,Lewis,384,416,513,641,662
Kentucky,2008,Lincoln,354,484,537,643,850
Kentucky,2008,Livingston,406,407,490,630,716
Kentucky,2008,Logan,435,472,525,719,796
